timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/02/07 12:30:32.412, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.38 W
2026/02/07 12:30:33.414, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.12 W
2026/02/07 12:30:34.417, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.13 W
2026/02/07 12:30:35.419, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.27 W
2026/02/07 12:30:36.422, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.16 W
2026/02/07 12:30:37.424, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.27 W
2026/02/07 12:30:38.427, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.12 W
2026/02/07 12:30:39.429, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.91 W
2026/02/07 12:30:40.432, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.06 W
2026/02/07 12:30:41.434, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.71 W
2026/02/07 12:30:42.436, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.11 W
2026/02/07 12:30:43.438, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.76 W
2026/02/07 12:30:44.439, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.66 W
2026/02/07 12:30:45.441, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.88 W
2026/02/07 12:30:46.442, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.69 W
2026/02/07 12:30:47.444, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.71 W
2026/02/07 12:30:48.445, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.56 W
2026/02/07 12:30:49.446, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.62 W
2026/02/07 12:30:50.448, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.47 W
2026/02/07 12:30:51.449, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.39 W
2026/02/07 12:30:52.451, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.27 W
2026/02/07 12:30:53.452, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.60 W
2026/02/07 12:30:54.454, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.50 W
2026/02/07 12:30:55.455, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.43 W
2026/02/07 12:30:56.456, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.29 W
2026/02/07 12:30:57.458, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.43 W
2026/02/07 12:30:58.459, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.01 W
2026/02/07 12:30:59.460, NVIDIA GB10, 96 %, 0 %, [N/A], 79, 59.24 W
2026/02/07 12:31:00.462, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 61.04 W
2026/02/07 12:31:01.463, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.63 W
2026/02/07 12:31:02.465, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.54 W
2026/02/07 12:31:03.466, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.90 W
2026/02/07 12:31:04.467, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.79 W
2026/02/07 12:31:05.469, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.93 W
2026/02/07 12:31:06.470, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.25 W
2026/02/07 12:31:07.472, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.00 W
2026/02/07 12:31:08.473, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.05 W
2026/02/07 12:31:09.474, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.05 W
2026/02/07 12:31:10.476, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.29 W
2026/02/07 12:31:11.477, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.29 W
2026/02/07 12:31:12.479, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.99 W
2026/02/07 12:31:13.480, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.31 W
2026/02/07 12:31:14.481, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.16 W
2026/02/07 12:31:15.483, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.99 W
2026/02/07 12:31:16.484, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.21 W
2026/02/07 12:31:17.486, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.10 W
2026/02/07 12:31:18.487, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.46 W
2026/02/07 12:31:19.488, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.20 W
2026/02/07 12:31:20.490, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.47 W
2026/02/07 12:31:21.491, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.18 W
2026/02/07 12:31:22.493, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.33 W
2026/02/07 12:31:23.494, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.19 W
2026/02/07 12:31:24.496, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.01 W
2026/02/07 12:31:25.497, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.84 W
2026/02/07 12:31:26.498, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.86 W
2026/02/07 12:31:27.500, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 59.08 W
2026/02/07 12:31:28.501, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.95 W
2026/02/07 12:31:29.503, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.64 W
2026/02/07 12:31:30.504, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.81 W
2026/02/07 12:31:31.505, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.69 W
2026/02/07 12:31:32.507, NVIDIA GB10, 85 %, 0 %, [N/A], 80, 59.28 W
2026/02/07 12:31:33.508, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 61.82 W
2026/02/07 12:31:34.509, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.15 W
2026/02/07 12:31:35.511, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.96 W
2026/02/07 12:31:36.511, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.94 W
2026/02/07 12:31:37.511, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.31 W
2026/02/07 12:31:38.513, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.35 W
2026/02/07 12:31:39.513, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.50 W
2026/02/07 12:31:40.513, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.38 W
2026/02/07 12:31:41.514, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.35 W
2026/02/07 12:31:42.514, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.22 W
2026/02/07 12:31:43.514, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.41 W
2026/02/07 12:31:44.515, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.66 W
2026/02/07 12:31:45.515, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.42 W
2026/02/07 12:31:46.516, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.28 W
2026/02/07 12:31:47.516, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.27 W
2026/02/07 12:31:48.517, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.48 W
2026/02/07 12:31:49.517, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.23 W
2026/02/07 12:31:50.518, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.33 W
2026/02/07 12:31:51.518, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.05 W
2026/02/07 12:31:52.518, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.29 W
2026/02/07 12:31:53.523, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.72 W
2026/02/07 12:31:54.523, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 59.10 W
2026/02/07 12:31:55.524, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.83 W
2026/02/07 12:31:56.524, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.86 W
2026/02/07 12:31:57.524, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.79 W
2026/02/07 12:31:58.525, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.94 W
2026/02/07 12:31:59.525, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.60 W
2026/02/07 12:32:00.526, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.79 W
2026/02/07 12:32:01.526, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.53 W
2026/02/07 12:32:02.526, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 62.98 W
2026/02/07 12:32:03.527, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.93 W
2026/02/07 12:32:04.527, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.96 W
2026/02/07 12:32:05.528, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.86 W
2026/02/07 12:32:06.528, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.15 W
2026/02/07 12:32:07.528, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.15 W
2026/02/07 12:32:08.529, NVIDIA GB10, 89 %, 0 %, [N/A], 78, 59.28 W
2026/02/07 12:32:09.529, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.03 W
2026/02/07 12:32:10.529, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.26 W
2026/02/07 12:32:11.530, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.51 W
2026/02/07 12:32:12.530, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 59.36 W
2026/02/07 12:32:13.530, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.72 W
2026/02/07 12:32:14.531, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.16 W
2026/02/07 12:32:15.531, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 59.27 W
2026/02/07 12:32:16.531, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.25 W
2026/02/07 12:32:17.532, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.37 W
2026/02/07 12:32:18.532, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.37 W
2026/02/07 12:32:19.532, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.40 W
2026/02/07 12:32:20.533, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.26 W
2026/02/07 12:32:21.533, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 59.37 W
2026/02/07 12:32:22.533, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.45 W
2026/02/07 12:32:23.534, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.32 W
2026/02/07 12:32:24.534, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 59.27 W
2026/02/07 12:32:25.534, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 59.11 W
2026/02/07 12:32:26.535, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.08 W
2026/02/07 12:32:27.536, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.92 W
2026/02/07 12:32:28.536, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.86 W
2026/02/07 12:32:29.536, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 58.92 W
2026/02/07 12:32:30.537, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.69 W
2026/02/07 12:32:31.537, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 58.79 W
2026/02/07 12:32:32.538, NVIDIA GB10, 91 %, 0 %, [N/A], 78, 59.13 W
2026/02/07 12:32:33.538, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.65 W
2026/02/07 12:32:34.538, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.97 W
2026/02/07 12:32:35.539, NVIDIA GB10, 91 %, 0 %, [N/A], 77, 58.68 W
2026/02/07 12:32:36.539, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.66 W
2026/02/07 12:32:37.539, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 60.88 W
2026/02/07 12:32:38.539, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 58.92 W
2026/02/07 12:32:39.540, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 58.89 W
2026/02/07 12:32:40.540, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 58.92 W
2026/02/07 12:32:41.541, NVIDIA GB10, 89 %, 0 %, [N/A], 78, 58.81 W
2026/02/07 12:32:42.541, NVIDIA GB10, 89 %, 0 %, [N/A], 77, 59.21 W
2026/02/07 12:32:43.541, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.18 W
2026/02/07 12:32:44.541, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 59.20 W
2026/02/07 12:32:45.542, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.03 W
2026/02/07 12:32:46.542, NVIDIA GB10, 90 %, 0 %, [N/A], 77, 59.12 W
2026/02/07 12:32:47.543, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.22 W
2026/02/07 12:32:48.543, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.29 W
2026/02/07 12:32:49.544, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.19 W
2026/02/07 12:32:50.544, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.30 W
2026/02/07 12:32:51.544, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 59.24 W
2026/02/07 12:32:52.545, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.16 W
2026/02/07 12:32:53.545, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 59.68 W
2026/02/07 12:32:54.545, NVIDIA GB10, 90 %, 0 %, [N/A], 79, 59.17 W
2026/02/07 12:32:55.546, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.53 W
2026/02/07 12:32:56.546, NVIDIA GB10, 90 %, 0 %, [N/A], 78, 59.60 W
